project,versionId,versionIndex,versionDate,ATDI,ATDI_WEIGHTED,AffectedClassesRatio,AffectedComponentType,AffectedConstructType,AffectedElements,AffectsIndexList,AfferentAffectedRatio,CentralComponent,EfferentAffectedRatio,InstabilityGap,LOCDensity,MeanContTreeDepth,MeanContTreeDistance,NumberOfEdges,PageRankWeighted,PageRankWeightedRanking,Severity,Shape,Size,SmellExtent,SmellExtentByWeight,StDContTreeDepth,StDContTreeDistance,Strength,TotalNumberOfChanges,smellType,vertexId,vertexLabel
sitewhere-2.0.0,8486c3ff-4ba6-4b03-a1ce-18c202dbf970,1,2023-02-10T21:57:10.826857300,8.241568010884304,5.827668628106417,0.0,CONTAINER,PACKAGE,"[com.sitewhere.spi, com.sitewhere.rest]",28385;26351,0.0,,0.0,0.0,0.0,3.0,1.0,2,3.710850678188025E-5,1,3.364606051185177,TINY,2,6,3,0.0,0.0,0.0,0,cyclicDep,79815,smell
sitewhere-2.0.0,8486c3ff-4ba6-4b03-a1ce-18c202dbf970,1,2023-02-10T21:57:10.826857300,16.30763811228192,5.156927969257955,0.0,CONTAINER,PACKAGE,"[com.sitewhere.spi.microservice, com.sitewhere.spi.microservice.scripting, com.sitewhere.spi.server.lifecycle, com.sitewhere.spi.microservice.configuration]",28014;27066;27176;28001,0.0,,0.0,0.0,0.0,4.75,1.8333333333333333,10,1.6546162227285412E-4,1,5.156927969257955,CIRCLE,4,10,1,0.4330127018922193,1.0671873729054748,0.0,0,cyclicDep,79840,smell
sitewhere-2.0.0,8486c3ff-4ba6-4b03-a1ce-18c202dbf970,1,2023-02-10T21:57:10.826857300,8.721850233594186,4.360925116797093,0.0,CONTAINER,PACKAGE,"[com.sitewhere.spi.microservice.kafka, com.sitewhere.spi.server.lifecycle, com.sitewhere.spi.microservice.logging]",27261;27923;28169,0.0,,0.0,0.0,0.0,5.0,2.6666666666666665,3,2.0153364780827902E-4,1,4.360925116797093,CIRCLE,3,4,1,0.0,0.4714045207910317,0.0,0,cyclicDep,79848,smell
sitewhere-2.0.0,8486c3ff-4ba6-4b03-a1ce-18c202dbf970,1,2023-02-10T21:57:10.826857300,15.276067934359782,4.830716836404045,0.0,CONTAINER,PACKAGE,"[com.sitewhere.spi.microservice, com.sitewhere.spi.microservice.scripting, com.sitewhere.spi.microservice.multitenant, com.sitewhere.spi.server.lifecycle, com.sitewhere.spi.microservice.configuration]",26991;28014;27066;27176;27820,0.0,,0.0,0.0,0.0,4.8,2.0,15,1.478736117852847E-4,1,4.830716836404045,CIRCLE,5,10,1,0.39999999999999997,0.8944271909999159,0.0,0,cyclicDep,79855,smell
sitewhere-2.0.0,8486c3ff-4ba6-4b03-a1ce-18c202dbf970,1,2023-02-10T21:57:10.826857300,11.72634135822216,3.9087804527407197,0.0,CONTAINER,PACKAGE,"[com.sitewhere.spi.microservice.scripting, com.sitewhere.spi.microservice.multitenant, com.sitewhere.spi.server.lifecycle, com.sitewhere.spi.microservice.configuration]",26991;28014;27066;27338,0.0,,0.0,0.0,0.0,5.0,2.3333333333333335,8,1.413790766676045E-4,1,3.9087804527407197,CIRCLE,4,9,1,0.0,0.7453559924999298,0.0,0,cyclicDep,79864,smell
sitewhere-2.0.0,8486c3ff-4ba6-4b03-a1ce-18c202dbf970,1,2023-02-10T21:57:10.826857300,11.733604049322828,4.1484554955170525,0.0,CONTAINER,PACKAGE,"[com.sitewhere.spi.microservice.groovy, com.sitewhere.spi.microservice.scripting, com.sitewhere.spi.microservice.multitenant, com.sitewhere.spi.server.lifecycle]",27830;26991;28014;27829,0.0,,0.0,0.0,0.0,5.0,2.5,7,1.3268968430438794E-4,1,4.1484554955170525,CIRCLE,4,8,1,0.0,0.5,0.0,0,cyclicDep,79872,smell
sitewhere-2.0.0,8486c3ff-4ba6-4b03-a1ce-18c202dbf970,1,2023-02-10T21:57:10.826857300,9.597973616122488,4.29234429037987,0.0,CONTAINER,PACKAGE,"[com.sitewhere.spi.microservice.groovy, com.sitewhere.spi.microservice.multitenant, com.sitewhere.spi.server.lifecycle]",27830;26991;27668,0.0,,0.0,0.0,0.0,5.0,2.6666666666666665,4,1.6125954751854287E-4,1,4.29234429037987,CIRCLE,3,5,1,0.0,0.4714045207910317,0.0,0,cyclicDep,79880,smell
sitewhere-2.0.0,8486c3ff-4ba6-4b03-a1ce-18c202dbf970,1,2023-02-10T21:57:10.826857300,12.140583019659863,4.29234429037987,0.0,CONTAINER,PACKAGE,"[com.sitewhere.spi.microservice.scripting, com.sitewhere.spi.microservice.multitenant, com.sitewhere.spi.server.lifecycle]",26991;28014;27594,0.0,,0.0,0.0,0.0,5.0,2.6666666666666665,4,1.7257316848095765E-4,1,4.29234429037987,CIRCLE,3,8,1,0.0,0.4714045207910317,0.0,0,cyclicDep,79887,smell
sitewhere-2.0.0,8486c3ff-4ba6-4b03-a1ce-18c202dbf970,1,2023-02-10T21:57:10.826857300,9.750950329558991,4.360757556423576,0.0,CONTAINER,PACKAGE,"[com.sitewhere.spi.microservice.state, com.sitewhere.spi.microservice.multitenant, com.sitewhere.spi.server.lifecycle]",26495;26991;26342,0.0,,0.0,0.0,0.0,5.0,2.6666666666666665,5,1.9442743820734506E-4,1,4.360757556423576,CIRCLE,3,5,1,0.0,0.4714045207910317,0.0,0,cyclicDep,79894,smell
sitewhere-2.0.0,8486c3ff-4ba6-4b03-a1ce-18c202dbf970,1,2023-02-10T21:57:10.826857300,16.47523519637289,4.967470316293285,0.0,CONTAINER,PACKAGE,"[com.sitewhere.spi.microservice.multitenant, com.sitewhere.spi.server.lifecycle]",26991;26419,0.0,,0.0,0.0,0.0,5.0,3.0,2,2.3536970539047485E-4,1,4.967470316293285,TINY,2,11,1,0.0,0.0,0.0,0,cyclicDep,79901,smell
