project,versionId,versionIndex,versionDate,AbstractnessMetric,ChangeHasOccurred,ComponentType,FanIn,FanOut,InstabilityMetric,IsNested,LinesOfCode,NumberOfChildren,PageRank,TotalAmountOfChanges,constructType,filePathReal,filePathRelative,name,simpleName,vertexId,vertexLabel
qbike-5-47301e2,fd111c68-2ce2-4222-9fa0-c109d7863b42,1,2023-02-11T21:35:56.789858100,0.0,false,PACKAGE,0,0,1.0,false,0,1,0.009632623813132181,0,PACKAGE,.,.,club.newtech.qbick,qbick,0,container
qbike-5-47301e2,fd111c68-2ce2-4222-9fa0-c109d7863b42,1,2023-02-11T21:35:56.789858100,1.0,false,PACKAGE,0,1,1.0,false,12,2,0.009632623813132181,0,PACKAGE,.,.,club.newtech.qbike.uc.domain.repository,repository,515,container
qbike-5-47301e2,fd111c68-2ce2-4222-9fa0-c109d7863b42,1,2023-02-11T21:35:56.789858100,0.0,false,PACKAGE,0,0,0.0,false,11,1,0.009632623813132181,0,PACKAGE,.,.,club.newtech.qbick.gateway,gateway,6,container
qbike-5-47301e2,fd111c68-2ce2-4222-9fa0-c109d7863b42,1,2023-02-11T21:35:56.789858100,0.0,false,PACKAGE,0,0,0.0,false,11,6,0.009632623813132181,0,PACKAGE,.,.,club.newtech.qbike,qbike,1035,container
qbike-5-47301e2,fd111c68-2ce2-4222-9fa0-c109d7863b42,1,2023-02-11T21:35:56.789858100,0.0,false,PACKAGE,0,4,1.0,false,49,1,0.009632623813132181,0,PACKAGE,.,.,club.newtech.qbike.order.controller,controller,15,container
qbike-5-47301e2,fd111c68-2ce2-4222-9fa0-c109d7863b42,1,2023-02-11T21:35:56.789858100,0.0,false,PACKAGE,1,4,1.0,false,38,2,0.01782803857474549,0,PACKAGE,.,.,club.newtech.qbike.intention.controller,controller,783,container
qbike-5-47301e2,fd111c68-2ce2-4222-9fa0-c109d7863b42,1,2023-02-11T21:35:56.789858100,0.0,false,PACKAGE,4,0,0.0,false,94,6,0.05429274265365599,0,PACKAGE,.,.,club.newtech.qbike.order.domain.core.vo,vo,274,container
qbike-5-47301e2,fd111c68-2ce2-4222-9fa0-c109d7863b42,1,2023-02-11T21:35:56.789858100,0.0,false,PACKAGE,2,1,0.2857142857142857,false,30,1,0.029162890100164304,0,PACKAGE,.,.,club.newtech.qbike.order.domain.core.root,root,282,container
qbike-5-47301e2,fd111c68-2ce2-4222-9fa0-c109d7863b42,1,2023-02-11T21:35:56.789858100,0.0,false,PACKAGE,0,0,0.0,false,18,3,0.009632623813132181,0,PACKAGE,.,.,club.newtech.qbike.client,client,1050,container
qbike-5-47301e2,fd111c68-2ce2-4222-9fa0-c109d7863b42,1,2023-02-11T21:35:56.789858100,0.0,false,PACKAGE,3,0,0.0,false,4,3,0.051819294585927926,0,PACKAGE,.,.,club.newtech.qbike.trip.domain.core,core,291,container
